@relation 50_Testset_Combine_R1_pra_direct

@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute attribute3 {Deny,Permit}

@data
25,10,?
26,1,?
26,2,?
26,4,?
26,5,?
26,6,?
26,7,?
26,8,?
26,9,?
26,10,?
27,1,?
27,2,?
27,4,?
27,5,?
27,6,?
27,7,?
27,8,?
27,9,?
27,10,?
66,8,?
66,9,?
66,10,?
67,1,?
67,2,?
67,3,?
71,8,?
72,8,?
73,8,?
74,8,?
75,8,?
76,8,?
77,8,?
78,8,?
79,8,?
80,8,?
81,9,?
82,9,?
83,9,?
84,9,?
85,9,?
86,9,?
87,9,?
88,9,?
89,9,?
90,9,?
91,10,?
92,10,?
93,10,?
94,10,?
95,10,?


