@relation 50_Testset_Permit_R1_pra_direct

@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute attribute3 {Deny,Permit}

@data
70,7,?
71,8,?
72,8,?
73,8,?
74,8,?
75,8,?
76,8,?
77,8,?
78,8,?
79,8,?
80,8,?
81,9,?
82,9,?
83,9,?
84,9,?
85,9,?
86,9,?
87,9,?
88,9,?
89,9,?
90,9,?
91,10,?
92,10,?
93,10,?
94,10,?
11,2,?
12,2,?
13,2,?
14,2,?
15,2,?
16,2,?
17,2,?
18,2,?
19,2,?
20,2,?
21,3,?
22,3,?
23,3,?
24,3,?
25,3,?
26,3,?
27,3,?
28,3,?
29,3,?
30,3,?
31,4,?
32,4,?
33,4,?
34,4,?
35,4,?

