@relation 50_Testset_Combine_R1_uror

@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute attribute3 numeric
@attribute attribute4 numeric
@attribute attribute5 {Deny,Permit}

@data
23,9,46,5,?
23,9,47,1,?
23,9,47,2,?
23,9,47,3,?
23,9,47,4,?
23,9,47,5,?
23,9,48,1,?
23,9,48,2,?
23,9,48,3,?
23,9,48,4,?
23,9,48,5,?
23,9,49,1,?
23,9,49,2,?
23,9,49,3,?
23,9,49,4,?
23,9,49,5,?
23,9,50,1,?
23,9,50,2,?
23,9,50,3,?
23,9,50,4,?
23,9,50,5,?
23,9,51,1,?
23,9,51,2,?
23,9,51,3,?
23,9,51,4,?
72,5,44,5,?
61,5,43,5,?
62,5,43,5,?
66,5,43,5,?
70,5,43,5,?
73,5,43,5,?
62,5,42,5,?
64,5,42,5,?
68,5,42,5,?
69,5,41,5,?
69,5,50,5,?
74,5,50,5,?
73,5,49,5,?
74,5,49,5,?
68,5,46,5,?
70,5,46,5,?
61,5,45,5,?
65,5,45,5,?
71,5,45,5,?
73,5,45,5,?
61,5,44,5,?
64,5,43,5,?
70,5,42,5,?
61,5,41,5,?
62,5,41,5,?
