@relation 50_Testset_Deny_R1_uror

@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute attribute3 numeric
@attribute attribute4 numeric
@attribute attribute5 {Deny,Permit}

@data
70,4,27,5,?
70,4,28,1,?
70,4,28,2,?
70,4,28,3,?
70,4,28,4,?
70,4,28,5,?
70,4,29,1,?
70,4,29,2,?
70,4,29,3,?
70,4,29,4,?
70,4,29,5,?
70,4,30,1,?
70,4,30,2,?
70,4,30,3,?
70,4,30,4,?
70,4,30,5,?
70,4,31,1,?
70,4,31,2,?
70,4,31,3,?
70,4,31,4,?
70,4,31,5,?
70,4,32,1,?
70,4,32,2,?
70,4,32,3,?
70,4,32,4,?
70,4,32,5,?
70,4,33,1,?
70,4,33,2,?
70,4,33,3,?
70,4,33,4,?
70,4,33,5,?
70,4,34,1,?
70,4,34,2,?
70,4,34,3,?
70,4,34,4,?
70,4,34,5,?
70,4,35,1,?
70,4,35,2,?
70,4,35,3,?
1,1,1,2,?
1,1,1,3,?
1,1,1,4,?
1,1,1,5,?
1,1,2,2,?
1,1,2,3,?
1,1,2,4,?
1,1,2,5,?
1,1,3,2,?
1,1,3,3,?
7,7,93,2,?
