@relation 50_Testset_Combine_R1_urp

@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute attribute3 numeric
@attribute attribute4 {Deny,Permit}

@data
41,10,11,?
41,10,12,?
41,10,13,?
41,10,14,?
41,10,15,?
41,10,16,?
41,10,17,?
41,10,18,?
41,10,19,?
41,10,20,?
41,10,21,?
41,10,22,?
41,10,23,?
41,10,24,?
41,10,25,?
41,10,26,?
41,10,27,?
41,10,28,?
41,10,29,?
41,10,30,?
41,10,31,?
41,10,32,?
41,10,33,?
41,10,34,?
41,10,35,?
13,6,54,?
12,6,54,?
6,6,54,?
10,6,54,?
8,6,54,?
14,6,54,?
2,6,54,?
7,6,54,?
9,6,54,?
15,6,54,?
1,6,54,?
4,6,54,?
11,6,54,?
5,6,54,?
6,6,55,?
5,6,55,?
10,6,55,?
12,6,55,?
3,6,55,?
8,6,55,?
11,6,55,?
7,6,55,?
13,6,55,?
15,6,56,?
13,6,56,?


