@relation 50_Testset_Deny_R1_urp

@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute attribute3 numeric
@attribute attribute4 {Deny,Permit}

@data
10,2,69,?
10,2,70,?
10,2,71,?
10,2,72,?
10,2,73,?
10,2,74,?
10,2,75,?
10,2,76,?
10,2,77,?
10,2,78,?
10,2,79,?
10,2,80,?
10,2,81,?
10,2,82,?
10,2,83,?
10,2,84,?
10,2,85,?
10,2,86,?
10,2,87,?
10,2,88,?
10,2,89,?
10,2,90,?
10,2,91,?
10,2,92,?
10,2,93,?
10,2,94,?
10,2,95,?
10,2,96,?
10,2,97,?
10,2,98,?
10,2,99,?
10,2,100,?
10,3,1,?
10,3,2,?
10,3,3,?
10,3,4,?
10,3,5,?
10,3,6,?
10,3,7,?
10,3,8,?
10,3,9,?
10,3,10,?
10,3,11,?
10,3,12,?
10,3,13,?
10,3,14,?
10,3,15,?
10,3,16,?
10,3,17,?
63,5,71,?


