@relation 50_Testset_Permit_R1_urp

@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute attribute3 numeric
@attribute attribute4 {Deny,Permit}

@data
24,7,64,?
25,7,64,?
29,7,64,?
30,7,64,?
23,7,64,?
20,7,64,?
17,7,64,?
18,7,64,?
27,7,64,?
22,7,64,?
26,7,64,?
28,7,65,?
16,7,65,?
19,7,65,?
20,7,65,?
18,7,65,?
26,7,65,?
27,7,65,?
22,7,65,?
24,7,65,?
17,7,65,?
29,7,65,?
25,7,65,?
21,7,65,?
23,7,65,?
30,7,65,?
16,7,66,?
30,7,66,?
23,7,66,?
26,7,66,?
29,7,66,?
21,7,66,?
25,7,66,?
18,7,66,?
27,7,66,?
22,7,66,?
24,7,66,?
28,7,66,?
17,7,66,?
20,7,66,?
19,7,66,?
16,7,67,?
28,7,67,?
26,7,67,?
17,7,67,?
21,7,67,?
25,7,67,?
23,7,67,?
24,7,67,?
27,7,67,?

