@relation COMBINED_R1_pra_direct

@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute attribute3 {Deny,Permit}

@data
1,2,Deny
1,3,Deny
1,4,Deny
1,5,Deny
1,6,Deny
1,7,Deny
1,8,Deny
1,9,Deny
1,10,Deny
2,2,Deny
2,3,Deny
2,4,Deny
2,5,Deny
2,6,Deny
2,7,Deny
2,8,Deny
2,9,Deny
2,10,Deny
3,2,Deny
3,3,Deny
3,4,Deny
3,5,Deny
3,6,Deny
3,7,Deny
3,8,Deny
3,9,Deny
3,10,Deny
4,2,Deny
4,3,Deny
4,4,Deny
4,5,Deny
4,6,Deny
4,7,Deny
4,8,Deny
4,9,Deny
4,10,Deny
5,2,Deny
5,3,Deny
5,4,Deny
5,5,Deny
5,6,Deny
5,7,Deny
5,8,Deny
5,9,Deny
5,10,Deny
6,2,Deny
6,3,Deny
6,4,Deny
6,5,Deny
6,6,Deny
6,7,Deny
6,8,Deny
6,9,Deny
6,10,Deny
7,2,Deny
7,3,Deny
7,4,Deny
7,5,Deny
7,6,Deny
7,7,Deny
7,8,Deny
7,9,Deny
7,10,Deny
8,2,Deny
8,3,Deny
8,4,Deny
8,5,Deny
8,6,Deny
8,7,Deny
8,8,Deny
8,9,Deny
8,10,Deny
9,2,Deny
9,3,Deny
9,4,Deny
9,5,Deny
9,6,Deny
9,7,Deny
9,8,Deny
9,9,Deny
9,10,Deny
10,2,Deny
10,3,Deny
10,4,Deny
10,5,Deny
10,6,Deny
10,7,Deny
10,8,Deny
10,9,Deny
10,10,Deny
11,1,Deny
11,3,Deny
11,4,Deny
11,5,Deny
11,6,Deny
11,7,Deny
11,8,Deny
11,9,Deny
11,10,Deny
12,1,Deny
12,3,Deny
12,4,Deny
12,5,Deny
12,6,Deny
12,7,Deny
12,8,Deny
12,9,Deny
12,10,Deny
13,1,Deny
13,3,Deny
13,4,Deny
13,5,Deny
13,6,Deny
13,7,Deny
13,8,Deny
13,9,Deny
13,10,Deny
14,1,Deny
14,3,Deny
14,4,Deny
14,5,Deny
14,6,Deny
14,7,Deny
14,8,Deny
14,9,Deny
14,10,Deny
15,1,Deny
15,3,Deny
15,4,Deny
