@relation COMBINED_R1_ura

@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute attribute3 {Deny,Permit}

@data
16,1,Deny
16,3,Deny
16,5,Deny
17,1,Deny
17,3,Deny
17,5,Deny
18,1,Deny
18,3,Deny
18,5,Deny
19,1,Deny
19,3,Deny
19,5,Deny
20,1,Deny
20,3,Deny
20,5,Deny
21,1,Deny
21,3,Deny
21,5,Deny
22,1,Deny
22,3,Deny
22,5,Deny
23,1,Deny
23,3,Deny
23,5,Deny
24,1,Deny
24,3,Deny
24,5,Deny
25,1,Deny
25,3,Deny
25,5,Deny
26,1,Deny
26,3,Deny
26,5,Deny
27,1,Deny
27,3,Deny
27,5,Deny
28,1,Deny
28,3,Deny
28,5,Deny
29,1,Deny
29,3,Deny
29,5,Deny
30,1,Deny
30,3,Deny
30,5,Deny
31,1,Deny
31,2,Deny
31,4,Deny
32,1,Deny
32,2,Deny
32,4,Deny
33,1,Deny
33,2,Deny
33,4,Deny
34,1,Deny
34,2,Deny
34,4,Deny
35,1,Deny
35,2,Deny
35,4,Deny
36,1,Deny
36,2,Deny
36,4,Deny
37,1,Deny
37,2,Deny
37,4,Deny
38,1,Deny
38,2,Deny
38,4,Deny
39,1,Deny
39,2,Deny
39,4,Deny
40,1,Deny
40,2,Deny
40,4,Deny
41,1,Deny
41,2,Deny
41,4,Deny
42,1,Deny
42,2,Deny
42,4,Deny
43,1,Deny
43,2,Deny
43,4,Deny
44,1,Deny
44,2,Deny
44,4,Deny
45,1,Deny
45,2,Deny
45,4,Deny
46,1,Deny
46,2,Deny
46,3,Deny
46,5,Deny
46,6,Deny
46,7,Deny
46,10,Deny
47,1,Deny
47,2,Deny
47,3,Deny
47,5,Deny
47,6,Deny
47,7,Deny
47,10,Deny
48,1,Deny
48,2,Deny
48,3,Deny
48,5,Deny
48,6,Deny
48,7,Deny
48,10,Deny
49,1,Deny
49,2,Deny
49,3,Deny
49,5,Deny
49,6,Deny
49,7,Deny
49,10,Deny
50,1,Deny
50,2,Deny
50,3,Deny
50,5,Deny
50,6,Deny
50,7,Deny
50,10,Deny
51,1,Deny
51,2,Deny
51,3,Deny
51,5,Deny
51,6,Deny
51,7,Deny
51,10,Deny
52,1,Deny
52,2,Deny
52,3,Deny
52,5,Deny
52,6,Deny
52,7,Deny
52,10,Deny
53,1,Deny
53,2,Deny
53,3,Deny
53,5,Deny
53,6,Deny
53,7,Deny
53,10,Deny
54,1,Deny
54,2,Deny
54,3,Deny
54,5,Deny
54,6,Deny
54,7,Deny
54,10,Deny
55,1,Deny
55,2,Deny
55,3,Deny
55,5,Deny
55,6,Deny
55,7,Deny
55,10,Deny
56,1,Deny
56,2,Deny
56,3,Deny
56,5,Deny
56,6,Deny
56,7,Deny
56,10,Deny
57,1,Deny
57,2,Deny
57,3,Deny
57,5,Deny
57,6,Deny
57,7,Deny
57,10,Deny
58,1,Deny
58,2,Deny
58,3,Deny
58,5,Deny
58,6,Deny
58,7,Deny
58,8,Deny
58,10,Deny
59,1,Deny
59,2,Deny
59,3,Deny
59,5,Deny
59,6,Deny
59,7,Deny
59,10,Deny
60,1,Deny
60,2,Deny
60,3,Deny
60,5,Deny
60,6,Deny
60,7,Deny
60,10,Deny
61,1,Deny
61,2,Deny
61,3,Deny
61,4,Deny
61,6,Deny
61,7,Deny
61,8,Deny
61,9,Deny
62,1,Deny
62,2,Deny
62,3,Deny
