attribute1,attribute2,attribute3,attribute4
1,1,11,Deny
1,1,12,Deny
1,1,13,Deny
1,1,14,Deny
1,1,15,Deny
1,1,16,Deny
1,1,17,Deny
1,1,18,Deny
1,1,19,Deny
1,1,20,Deny
1,1,21,Deny
1,1,22,Deny
1,1,23,Deny
1,1,24,Deny
1,1,25,Deny
1,1,26,Deny
1,1,27,Deny
1,1,28,Deny
1,1,29,Deny
1,1,30,Deny
1,1,31,Deny
1,1,32,Deny
1,1,33,Deny
1,1,34,Deny
1,1,35,Deny
1,1,36,Deny
1,1,37,Deny
1,1,38,Deny
1,1,39,Deny
1,1,40,Deny
1,1,41,Deny
1,1,42,Deny
1,1,43,Deny
1,1,44,Deny
1,1,45,Deny
1,1,46,Deny
1,1,47,Deny
1,1,48,Deny
1,1,49,Deny
1,1,50,Deny
1,1,51,Deny
1,1,52,Deny
1,1,53,Deny
1,1,54,Deny
1,1,55,Deny
1,1,56,Deny
1,1,57,Deny
1,1,58,Deny
1,1,59,Deny
1,1,60,Deny
1,1,61,Deny
1,1,62,Deny
1,1,63,Deny
1,1,64,Deny
1,1,65,Deny
1,1,66,Deny
1,1,67,Deny
1,1,68,Deny
1,1,69,Deny
1,1,70,Deny
1,1,71,Deny
1,1,72,Deny
1,1,73,Deny
1,1,74,Deny
1,1,75,Deny
1,1,76,Deny
1,1,77,Deny
1,1,78,Deny
1,1,79,Deny
1,1,80,Deny
1,1,81,Deny
1,1,82,Deny
1,1,83,Deny
1,1,84,Deny
1,1,85,Deny
1,1,86,Deny
1,1,87,Deny
1,1,88,Deny
1,1,89,Deny
1,1,90,Deny
1,1,91,Deny
1,1,92,Deny
1,1,93,Deny
1,1,94,Deny
1,1,95,Deny
1,1,96,Deny
1,1,97,Deny
1,1,98,Deny
1,1,99,Deny
1,1,100,Deny
1,2,1,Deny
1,2,2,Deny
1,2,3,Deny
1,2,4,Deny
1,2,5,Deny
1,2,6,Deny
1,2,7,Deny
1,2,8,Deny
1,2,9,Deny
1,2,10,Deny
1,2,21,Deny
1,2,22,Deny
1,2,23,Deny
1,2,24,Deny
1,2,25,Deny
1,2,26,Deny
1,2,27,Deny
1,2,28,Deny
1,2,29,Deny
1,2,30,Deny
1,2,31,Deny
1,2,32,Deny
1,2,33,Deny
1,2,34,Deny
1,2,35,Deny
1,2,36,Deny
1,2,37,Deny
1,2,38,Deny
1,2,39,Deny
1,2,40,Deny
1,2,41,Deny
1,2,42,Deny
1,2,43,Deny
1,2,44,Deny
1,2,45,Deny
1,2,46,Deny
1,2,47,Deny
1,2,48,Deny
1,2,49,Deny
1,2,50,Deny
1,2,51,Deny
1,2,52,Deny
1,2,53,Deny
1,2,54,Deny
1,2,55,Deny
1,2,56,Deny
1,2,57,Deny
1,2,58,Deny
1,2,59,Deny
1,2,60,Deny
1,2,61,Deny
1,2,62,Deny
1,2,63,Deny
1,2,64,Deny
1,2,65,Deny
1,2,66,Deny
1,2,67,Deny
1,2,68,Deny
1,2,69,Deny
1,2,70,Deny
1,2,71,Deny
1,2,72,Deny
1,2,73,Deny
1,2,74,Deny
1,2,75,Deny
1,2,76,Deny
1,2,77,Deny
1,2,78,Deny
1,2,79,Deny
1,2,80,Deny
1,2,81,Deny
1,2,82,Deny
1,2,83,Deny
1,2,84,Deny
1,2,85,Deny
1,2,86,Deny
1,2,87,Deny
1,2,88,Deny
1,2,89,Deny
1,2,90,Deny
1,2,91,Deny
1,2,92,Deny
1,2,93,Deny
1,2,94,Deny
1,2,95,Deny
1,2,96,Deny
1,2,97,Deny
1,2,98,Deny
1,2,99,Deny
1,2,100,Deny
1,3,1,Deny
1,3,2,Deny
1,3,3,Deny
1,3,4,Deny
1,3,5,Deny
1,3,6,Deny
1,3,7,Deny
1,3,8,Deny
1,3,9,Deny
1,3,10,Deny
1,3,11,Deny
1,3,12,Deny
1,3,13,Deny
1,3,14,Deny
1,3,15,Deny
1,3,16,Deny
1,3,17,Deny
1,3,18,Deny
1,3,19,Deny
1,3,20,Deny
1,3,31,Deny
1,3,32,Deny
1,3,33,Deny
1,3,34,Deny
1,3,35,Deny
1,3,36,Deny
1,3,37,Deny
1,3,38,Deny
1,3,39,Deny
1,3,40,Deny
1,3,41,Deny
1,3,42,Deny
1,3,43,Deny
1,3,44,Deny
1,3,45,Deny
1,3,46,Deny
1,3,47,Deny
1,3,48,Deny
1,3,49,Deny
1,3,50,Deny
1,3,51,Deny
1,3,52,Deny
1,3,53,Deny
1,3,54,Deny
1,3,55,Deny
1,3,56,Deny
1,3,57,Deny
1,3,58,Deny
1,3,59,Deny
1,3,60,Deny
1,3,61,Deny
1,3,62,Deny
1,3,63,Deny
1,3,64,Deny
1,3,65,Deny
