                          PERMISSION_ID    ROLE_ID
--------------------------------------- ----------
                                      1          1
                                      2          1
                                      3          1
                                      4          1
                                      5          1
                                      6          1
                                      7          1
                                      8          1
                                      9          1
                                     10          1
                                     11          2
                                     12          2
                                     13          2
                                     14          2
                                     15          2
                                     16          2
                                     17          2
                                     18          2
                                     19          2
                                     20          2
                                     11          1
                                     12          1
                                     13          1
                                     14          1
                                     15          1
                                     16          1
                                     17          1
                                     18          1
                                     19          1
                                     20          1
                                     21          3
                                     22          3
                                     23          3
                                     24          3
                                     25          3
                                     26          3
                                     27          3
                                     28          3
                                     29          3
                                     30          3
                                     21          1
                                     22          1
                                     23          1
                                     24          1
                                     25          1
                                     26          1
                                     27          1
                                     28          1
                                     29          1
                                     30          1
                                     31          4
                                     32          4
                                     33          4
                                     34          4
                                     35          4
                                     36          4
                                     37          4
                                     38          4
                                     39          4
                                     40          4
                                     31          2
                                     32          2
                                     33          2
                                     34          2
                                     35          2
                                     36          2
                                     37          2
                                     38          2
                                     39          2
                                     40          2
                                     31          1
                                     32          1
                                     33          1
                                     34          1
                                     35          1
                                     36          1
                                     37          1
                                     38          1
                                     39          1
                                     40          1
                                     41          5
                                     42          5
                                     43          5
                                     44          5
                                     45          5
                                     46          5
                                     47          5
                                     48          5
                                     49          5
                                     50          5
                                     41          3
                                     42          3
                                     43          3
                                     44          3
                                     45          3
                                     46          3
                                     47          3
                                     48          3
                                     49          3
                                     50          3
                                     41          1
                                     42          1
                                     43          1
                                     44          1
                                     45          1
                                     46          1
                                     47          1
                                     48          1
                                     49          1
                                     50          1
                                     51          6
                                     52          6
                                     53          6
                                     54          6
                                     55          6
                                     56          6
                                     57          6
                                     58          6
                                     59          6
                                     60          6
                                     51          2
                                     52          2
                                     53          2
                                     54          2
                                     55          2
                                     56          2
                                     57          2
                                     58          2
                                     59          2
                                     60          2
                                     51          1
                                     52          1
                                     53          1
                                     54          1
                                     55          1
                                     56          1
                                     57          1
                                     58          1
                                     59          1
                                     60          1
                                     61          7
                                     62          7
                                     63          7
                                     64          7
                                     65          7
                                     66          7
                                     67          7
                                     68          7
                                     69          7
                                     70          7
                                     61          3
                                     62          3
                                     63          3
                                     64          3
                                     65          3
                                     66          3
                                     67          3
                                     68          3
                                     69          3
                                     70          3
                                     61          1
                                     62          1
                                     63          1
                                     64          1
                                     65          1
                                     66          1
                                     67          1
                                     68          1
                                     69          1
                                     70          1
                                     71          8
                                     72          8
                                     73          8
                                     74          8
                                     75          8
                                     76          8
                                     77          8
                                     78          8
                                     79          8
                                     80          8
                                     71          4
                                     72          4
                                     73          4
                                     74          4
                                     75          4
                                     76          4
                                     77          4
                                     78          4
                                     79          4
                                     80          4
                                     71          2
                                     72          2
                                     73          2
                                     74          2
                                     75          2
                                     76          2
                                     77          2
                                     78          2
                                     79          2
                                     80          2
                                     71          1
                                     72          1
                                     73          1
                                     74          1
                                     75          1
                                     76          1
                                     77          1
                                     78          1
                                     79          1
                                     80          1
                                     81          9
                                     82          9
                                     83          9
                                     84          9
                                     85          9
                                     86          9
                                     87          9
                                     88          9
                                     89          9
                                     90          9
                                     81          7
                                     82          7
                                     83          7
                                     84          7
                                     85          7
                                     86          7
                                     87          7
                                     88          7
                                     89          7
                                     90          7
                                     81          3
                                     82          3
                                     83          3
                                     84          3
                                     85          3
                                     86          3
                                     87          3
                                     88          3
                                     89          3
                                     90          3
                                     81          1
                                     82          1
                                     83          1
                                     84          1
                                     85          1
                                     86          1
                                     87          1
                                     88          1
                                     89          1
                                     90          1
                                     91         10
                                     92         10
                                     93         10
                                     94         10
                                     95         10
                                     96         10
                                     97         10
                                     98         10
                                     99         10
                                    100         10
                                     91          6
                                     92          6
                                     93          6
                                     94          6
                                     95          6
                                     96          6
                                     97          6
                                     98          6
                                     99          6
                                    100          6
                                     91          2
                                     92          2
                                     93          2
                                     94          2
                                     95          2
                                     96          2
                                     97          2
                                     98          2
                                     99          2
                                    100          2
                                     91          1
                                     92          1
                                     93          1
                                     94          1
                                     95          1
                                     96          1
                                     97          1
                                     98          1
                                     99          1
                                    100          1










