   USER_ID    ROLE_ID
---------- ----------
         1          1
         1          2
         1          3
         1          4
         1          5
         1          6
         1          7
         1          8
         1          9
         1         10
         2          1

   USER_ID    ROLE_ID
---------- ----------
         2          2
         2          3
         2          4
         2          5
         2          6
         2          7
         2          8
         2          9
         2         10
         3          1
         3          2

   USER_ID    ROLE_ID
---------- ----------
         3          3
         3          4
         3          5
         3          6
         3          7
         3          8
         3          9
         3         10
         4          1
         4          2
         4          3

   USER_ID    ROLE_ID
---------- ----------
         4          4
         4          5
         4          6
         4          7
         4          8
         4          9
         4         10
         5          1
         5          2
         5          3
         5          4

   USER_ID    ROLE_ID
---------- ----------
         5          5
         5          6
         5          7
         5          8
         5          9
         5         10
         6          1
         6          2
         6          3
         6          4
         6          5

   USER_ID    ROLE_ID
---------- ----------
         6          6
         6          7
         6          8
         6          9
         6         10
         7          1
         7          2
         7          3
         7          4
         7          5
         7          6

   USER_ID    ROLE_ID
---------- ----------
         7          7
         7          8
         7          9
         7         10
         8          1
         8          2
         8          3
         8          4
         8          5
         8          6
         8          7

   USER_ID    ROLE_ID
---------- ----------
         8          8
         8          9
         8         10
         9          1
         9          2
         9          3
         9          4
         9          5
         9          6
         9          7
         9          8

   USER_ID    ROLE_ID
---------- ----------
         9          9
         9         10
        10          1
        10          2
        10          3
        10          4
        10          5
        10          6
        10          7
        10          8
        10          9

   USER_ID    ROLE_ID
---------- ----------
        10         10
        11          1
        11          2
        11          3
        11          4
        11          5
        11          6
        11          7
        11          8
        11          9
        11         10

   USER_ID    ROLE_ID
---------- ----------
        12          1
        12          2
        12          3
        12          4
        12          5
        12          6
        12          7
        12          8
        12          9
        12         10
        13          1

   USER_ID    ROLE_ID
---------- ----------
        13          2
        13          3
        13          4
        13          5
        13          6
        13          7
        13          8
        13          9
        13         10
        14          1
        14          2

   USER_ID    ROLE_ID
---------- ----------
        14          3
        14          4
        14          5
        14          6
        14          7
        14          8
        14          9
        14         10
        15          1
        15          2
        15          3

   USER_ID    ROLE_ID
---------- ----------
        15          4
        15          5
        15          6
        15          7
        15          8
        15          9
        15         10
   USER_ID    ROLE_ID
---------- ----------
        16          2
        16          4
        16          6
        16          7
        16          8
        16          9
        16         10
        17          2
        17          4
        17          6
        17          7

   USER_ID    ROLE_ID
---------- ----------
        17          8
        17          9
        17         10
        18          2
        18          4
        18          6
        18          7
        18          8
        18          9
        18         10
        19          2

   USER_ID    ROLE_ID
---------- ----------
        19          4
        19          6
        19          7
        19          8
        19          9
        19         10
        20          2
        20          4
        20          6
        20          7
        20          8

   USER_ID    ROLE_ID
---------- ----------
        20          9
        20         10
        21          2
        21          4
        21          6
        21          7
        21          8
        21          9
        21         10
        22          2
        22          4

   USER_ID    ROLE_ID
---------- ----------
        22          6
        22          7
        22          8
        22          9
        22         10
        23          2
        23          4
        23          6
        23          7
        23          8
        23          9

   USER_ID    ROLE_ID
---------- ----------
        23         10
        24          2
        24          4
        24          6
        24          7
        24          8
        24          9
        24         10
        25          2
        25          4
