   USER_ID    ROLE_ID
---------- ----------
         1          1
         2          1
         3          1
         4          1
         5          1
         6          1
         7          1
         8          1
         9          1
        10          1
        11          1

   USER_ID    ROLE_ID
---------- ----------
        12          1
        13          1
        14          1
        15          1
        16          2
        16          7
        17          2
        17          7
        18          2
        18          7
        19          2

   USER_ID    ROLE_ID
---------- ----------
        19          7
        20          2
        20          7
        21          2
        21          7
        22          2
        22          7
        23          2
        23          7
        24          2
        24          7

   USER_ID    ROLE_ID
---------- ----------
        25          2
        25          7
        26          2
        26          7
        27          2
        27          7
        28          2
        28          7
        29          2
        29          7
        30          2

   USER_ID    ROLE_ID
---------- ----------
        30          7
        31          3
        31          6
        31          8
        32          3
        32          6
        32          8
        33          3
        33          6
        33          8
        34          3

   USER_ID    ROLE_ID
---------- ----------
        34          6
        34          8
        35          3
        35          6
        35          8
        36          3
        36          6
        36          8
        37          3
        37          6
        37          8

   USER_ID    ROLE_ID
---------- ----------
        38          3
        38          6
        38          8
        39          3
        39          6
        39          8
        40          3
        40          6
        40          8
        41          3
        41          6

   USER_ID    ROLE_ID
---------- ----------
        41          8
        42          3
        42          6
        42          8
        43          3
        43          6
        43          8
        44          3
        44          6
        44          8
        45          3

   USER_ID    ROLE_ID
---------- ----------
        45          6
        45          8
        46          4
        46          9
        47          4
        47          9
        48          4
        48          9
        49          4
        49          9
        50          4

   USER_ID    ROLE_ID
---------- ----------
        50          9
        51          4
        51          9
        52          4
        52          9
        53          4
        53          9
        54          4
        54          9
        55          4
        55          9

   USER_ID    ROLE_ID
---------- ----------
        56          4
        56          9
        57          4
        57          9
        58          4
        58          9
        59          4
        59          9
        60          4
        60          9
        61          5

   USER_ID    ROLE_ID
---------- ----------
        61         10
        62          5
        62         10
        63          5
        63         10
        64          5
        64         10
        65          5
        65         10
        66          5
        66         10

   USER_ID    ROLE_ID
---------- ----------
        67          5
        67         10
        68          5
        68         10
        69          5
        69         10
        70          5
        70         10
        71          5
        71         10
        72          5

   USER_ID    ROLE_ID
---------- ----------
        72         10
        73          5
        73         10
        74          5
        74         10
        75          5
        75         10

 150 rows selected 

