   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         6          1                                       1
        13          1                                       1
        10          1                                       1
        14          1                                       1
         8          1                                       1
         1          1                                       1
         7          1                                       1
        12          1                                       1
         9          1                                       1
         4          1                                       1
         5          1                                       1

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        15          1                                       1
         2          1                                       1
         3          1                                       1
        11          1                                       1
         3          1                                       2
        11          1                                       2
         6          1                                       2
        13          1                                       2
         1          1                                       2
         4          1                                       2
         8          1                                       2

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         2          1                                       2
         5          1                                       2
        10          1                                       2
        14          1                                       2
         7          1                                       2
        15          1                                       2
         9          1                                       2
        12          1                                       2
         9          1                                       3
         3          1                                       3
         5          1                                       3

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         8          1                                       3
        12          1                                       3
        13          1                                       3
        10          1                                       3
        11          1                                       3
        15          1                                       3
         1          1                                       3
         4          1                                       3
         6          1                                       3
        14          1                                       3
         2          1                                       3

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         7          1                                       3
         2          1                                       4
         3          1                                       4
         7          1                                       4
        13          1                                       4
         1          1                                       4
         8          1                                       4
        10          1                                       4
        15          1                                       4
         4          1                                       4
        12          1                                       4

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         6          1                                       4
         9          1                                       4
        11          1                                       4
        14          1                                       4
         5          1                                       4
        10          1                                       5
         4          1                                       5
        11          1                                       5
         2          1                                       5
        14          1                                       5
         1          1                                       5

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         5          1                                       5
         6          1                                       5
         9          1                                       5
        13          1                                       5
         3          1                                       5
         7          1                                       5
        15          1                                       5
         8          1                                       5
        12          1                                       5
         7          1                                       6
         1          1                                       6

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         5          1                                       6
        14          1                                       6
         3          1                                       6
        11          1                                       6
         2          1                                       6
        13          1                                       6
        10          1                                       6
         4          1                                       6
         6          1                                       6
        15          1                                       6
         8          1                                       6

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         9          1                                       6
        12          1                                       6
         1          1                                       7
        11          1                                       7
        13          1                                       7
         9          1                                       7
         2          1                                       7
         4          1                                       7
         7          1                                       7
         8          1                                       7
        10          1                                       7

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        14          1                                       7
         3          1                                       7
         5          1                                       7
        12          1                                       7
         6          1                                       7
        15          1                                       7
         2          1                                       8
         3          1                                       8
        15          1                                       8
        10          1                                       8
         8          1                                       8

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        13          1                                       8
         9          1                                       8
        11          1                                       8
        12          1                                       8
         7          1                                       8
         1          1                                       8
         4          1                                       8
         5          1                                       8
         6          1                                       8
        14          1                                       8
         1          1                                       9

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        14          1                                       9
         9          1                                       9
        10          1                                       9
        11          1                                       9
        12          1                                       9
        13          1                                       9
        15          1                                       9
         5          1                                       9
         2          1                                       9
         4          1                                       9
         6          1                                       9

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         7          1                                       9
         8          1                                       9
         3          1                                       9
         5          1                                      10
         9          1                                      10
         7          1                                      10
         4          1                                      10
         8          1                                      10
        15          1                                      10
         2          1                                      10
         3          1                                      10

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        12          1                                      10
         1          1                                      10
         6          1                                      10
        10          1                                      10
        13          1                                      10
        11          1                                      10
        14          1                                      10
         9          2                                      11
        15          2                                      11
         2          2                                      11
         3          2                                      11

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         5          2                                      11
         6          2                                      11
        12          2                                      11
         4          2                                      11
        10          2                                      11
        13          2                                      11
        14          2                                      11
         7          2                                      11
         8          2                                      11
         1          2                                      11
        11          2                                      11

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         4          2                                      12
         8          2                                      12
        12          2                                      12
         9          2                                      12
         1          2                                      12
         2          2                                      12
         6          2                                      12
        10          2                                      12
         3          2                                      12
        14          2                                      12
         5          2                                      12

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         7          2                                      12
        13          2                                      12
        11          2                                      12
        15          2                                      12
         1          2                                      13
         2          2                                      13
         5          2                                      13
         6          2                                      13
         9          2                                      13
        13          2                                      13
        14          2                                      13

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         8          2                                      13
        10          2                                      13
        12          2                                      13
        15          2                                      13
         4          2                                      13
         3          2                                      13
        11          2                                      13
         7          2                                      13
         4          2                                      14
        12          2                                      14
        15          2                                      14

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        11          2                                      14
         1          2                                      14
         5          2                                      14
         6          2                                      14
         8          2                                      14
        14          2                                      14
         7          2                                      14
         2          2                                      14
        13          2                                      14
         3          2                                      14
         9          2                                      14

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        10          2                                      14
         2          2                                      15
        11          2                                      15
         5          2                                      15
        12          2                                      15
         9          2                                      15
        15          2                                      15
         3          2                                      15
         8          2                                      15
        10          2                                      15
         6          2                                      15

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        13          2                                      15
         1          2                                      15
         4          2                                      15
         7          2                                      15
        14          2                                      15
        12          2                                      16
        15          2                                      16
         3          2                                      16
        10          2                                      16
        13          2                                      16
         4          2                                      16

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         8          2                                      16
         7          2                                      16
         1          2                                      16
         9          2                                      16
         2          2                                      16
         6          2                                      16
         5          2                                      16
        11          2                                      16
        14          2                                      16
         2          2                                      17
         3          2                                      17

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        10          2                                      17
        13          2                                      17
         9          2                                      17
        12          2                                      17
         4          2                                      17
         7          2                                      17
        11          2                                      17
        14          2                                      17
         5          2                                      17
         6          2                                      17
         1          2                                      17

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         8          2                                      17
        15          2                                      17
        10          2                                      18
        14          2                                      18
         8          2                                      18
         9          2                                      18
        15          2                                      18
         1          2                                      18
         2          2                                      18
         3          2                                      18
         7          2                                      18

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        13          2                                      18
         5          2                                      18
        11          2                                      18
         6          2                                      18
         4          2                                      18
        12          2                                      18
         2          2                                      19
         6          2                                      19
         8          2                                      19
        12          2                                      19
        15          2                                      19

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         3          2                                      19
         4          2                                      19
         7          2                                      19
         9          2                                      19
        11          2                                      19
        13          2                                      19
         5          2                                      19
         1          2                                      19
        14          2                                      19
        10          2                                      19
         4          2                                      20

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         1          2                                      20
        10          2                                      20
         8          2                                      20
        13          2                                      20
         2          2                                      20
         9          2                                      20
         5          2                                      20
         6          2                                      20
         7          2                                      20
        15          2                                      20
         3          2                                      20

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        11          2                                      20
        12          2                                      20
        14          2                                      20
         1          3                                      21
         8          3                                      21
         9          3                                      21
        10          3                                      21
        11          3                                      21
         3          3                                      21
         7          3                                      21
         5          3                                      21

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         6          3                                      21
        12          3                                      21
        14          3                                      21
         2          3                                      21
         4          3                                      21
        13          3                                      21
        15          3                                      21
         1          3                                      22
        11          3                                      22
         5          3                                      22
         7          3                                      22

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        14          3                                      22
         4          3                                      22
         8          3                                      22
        10          3                                      22
         2          3                                      22
         3          3                                      22
         9          3                                      22
        12          3                                      22
         6          3                                      22
        13          3                                      22
        15          3                                      22

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         1          3                                      23
         2          3                                      23
         3          3                                      23
         9          3                                      23
        10          3                                      23
        12          3                                      23
        11          3                                      23
         4          3                                      23
        13          3                                      23
         5          3                                      23
         8          3                                      23

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         6          3                                      23
         7          3                                      23
        14          3                                      23
        15          3                                      23
         8          3                                      24
        10          3                                      24
         4          3                                      24
        11          3                                      24
         7          3                                      24
        15          3                                      24
         1          3                                      24

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         6          3                                      24
         2          3                                      24
         5          3                                      24
        13          3                                      24
        14          3                                      24
         3          3                                      24
         9          3                                      24
        12          3                                      24
        10          3                                      25
         2          3                                      25
         1          3                                      25

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         7          3                                      25
        14          3                                      25
         3          3                                      25
         6          3                                      25
         8          3                                      25
         9          3                                      25
        12          3                                      25
        13          3                                      25
        11          3                                      25
        15          3                                      25
         4          3                                      25

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         5          3                                      25
         6          3                                      26
        10          3                                      26
        14          3                                      26
         1          3                                      26
         3          3                                      26
         4          3                                      26
         7          3                                      26
         8          3                                      26
         5          3                                      26
        11          3                                      26

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        13          3                                      26
        15          3                                      26
         2          3                                      26
         9          3                                      26
        12          3                                      26
         2          3                                      27
        13          3                                      27
         7          3                                      27
         9          3                                      27
         8          3                                      27
        10          3                                      27

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        12          3                                      27
         1          3                                      27
         3          3                                      27
         4          3                                      27
        11          3                                      27
        15          3                                      27
         5          3                                      27
         6          3                                      27
        14          3                                      27
         1          3                                      28
         5          3                                      28

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         9          3                                      28
         4          3                                      28
         8          3                                      28
        13          3                                      28
        11          3                                      28
        15          3                                      28
         6          3                                      28
         3          3                                      28
        12          3                                      28
         2          3                                      28
        10          3                                      28

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        14          3                                      28
         7          3                                      28
         3          3                                      29
        11          3                                      29
        12          3                                      29
         5          3                                      29
         9          3                                      29
         4          3                                      29
         7          3                                      29
        15          3                                      29
        10          3                                      29

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        14          3                                      29
         1          3                                      29
         8          3                                      29
         2          3                                      29
         6          3                                      29
        13          3                                      29
         2          3                                      30
         6          3                                      30
         3          3                                      30
         1          3                                      30
        10          3                                      30

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        11          3                                      30
        12          3                                      30
         5          3                                      30
         4          3                                      30
        15          3                                      30
         7          3                                      30
         8          3                                      30
         9          3                                      30
        13          3                                      30
        14          3                                      30
         1          4                                      31

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         3          4                                      31
         5          4                                      31
         9          4                                      31
        11          4                                      31
        12          4                                      31
        13          4                                      31
         2          4                                      31
        14          4                                      31
         6          4                                      31
        10          4                                      31
         4          4                                      31

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         7          4                                      31
         8          4                                      31
        15          4                                      31
         4          4                                      32
         1          4                                      32
         6          4                                      32
        15          4                                      32
         2          4                                      32
         8          4                                      32
        10          4                                      32
        12          4                                      32

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         5          4                                      32
         9          4                                      32
        11          4                                      32
        14          4                                      32
         3          4                                      32
         7          4                                      32
        13          4                                      32
         1          4                                      33
         4          4                                      33
         9          4                                      33
        12          4                                      33

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        13          4                                      33
         5          4                                      33
        15          4                                      33
         2          4                                      33
         3          4                                      33
         7          4                                      33
        11          4                                      33
        14          4                                      33
         6          4                                      33
         8          4                                      33
        10          4                                      33

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         2          4                                      34
         5          4                                      34
        15          4                                      34
         4          4                                      34
         9          4                                      34
        11          4                                      34
        13          4                                      34
         8          4                                      34
        10          4                                      34
         1          4                                      34
         3          4                                      34

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         6          4                                      34
         7          4                                      34
        12          4                                      34
        14          4                                      34
         9          4                                      35
        15          4                                      35
         5          4                                      35
         6          4                                      35
         1          4                                      35
         2          4                                      35
         4          4                                      35

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        11          4                                      35
        13          4                                      35
         7          4                                      35
        10          4                                      35
        14          4                                      35
         3          4                                      35
        12          4                                      35
         8          4                                      35
         9          4                                      36
         1          4                                      36
         3          4                                      36

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         5          4                                      36
         7          4                                      36
        14          4                                      36
        11          4                                      36
         2          4                                      36
         8          4                                      36
        13          4                                      36
        15          4                                      36
        12          4                                      36
         4          4                                      36
         6          4                                      36

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        10          4                                      36
        11          4                                      37
         9          4                                      37
        10          4                                      37
        15          4                                      37
         5          4                                      37
         3          4                                      37
         1          4                                      37
         6          4                                      37
         8          4                                      37
        14          4                                      37

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         2          4                                      37
         4          4                                      37
         7          4                                      37
        12          4                                      37
        13          4                                      37
         6          4                                      38
         9          4                                      38
        13          4                                      38
        10          4                                      38
        12          4                                      38
        14          4                                      38

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         1          4                                      38
         3          4                                      38
         8          4                                      38
         5          4                                      38
        11          4                                      38
        15          4                                      38
         2          4                                      38
         4          4                                      38
         7          4                                      38
         8          4                                      39
        13          4                                      39

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         2          4                                      39
        11          4                                      39
        14          4                                      39
         9          4                                      39
        10          4                                      39
        12          4                                      39
         1          4                                      39
         5          4                                      39
        15          4                                      39
         4          4                                      39
         7          4                                      39

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         6          4                                      39
         3          4                                      39
         3          4                                      40
         6          4                                      40
         2          4                                      40
         5          4                                      40
         8          4                                      40
         9          4                                      40
         7          4                                      40
         1          4                                      40
        15          4                                      40

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
        14          4                                      40
        10          4                                      40
         4          4                                      40
        12          4                                      40
        13          4                                      40
        11          4                                      40
         4          5                                      41
        15          5                                      41
         6          5                                      41
        11          5                                      41
        13          5                                      41

   USER_ID    ROLE_ID                           PERMISSION_ID
---------- ---------- ---------------------------------------
         9          5                                      41
        12          5                                      41
         5          5                                      41
         3          5                                      41
         1          5                                      41
         2          5                                      41
         8          5                                      41
         7          5                                      41
