@relation 50_Combine_R2_pra_direct

@attribute 'attribute 0' numeric
@attribute ' attribute 1' numeric
@attribute ' attribute 2' {Permit,Deny}

@data
109,6,?
109,7,?
109,8,?
109,9,?
109,10,?
109,11,?
109,12,?
109,13,?
109,14,?
109,15,?
109,16,?
109,17,?
109,18,?
109,19,?
109,20,?
110,1,?
110,2,?
110,4,?
110,5,?
110,6,?
110,7,?
110,8,?
110,9,?
110,10,?
110,11,?
477,10,?
478,10,?
479,10,?
480,10,?
481,10,?
482,10,?
483,10,?
484,10,?
485,10,?
486,10,?
487,10,?
488,10,?
489,10,?
490,10,?
491,10,?
492,10,?
493,10,?
494,10,?
495,10,?
496,10,?
497,10,?
498,10,?
499,10,?
500,10,?
501,11,?
