@relation 50_Deny_R2_pra_direct

@attribute 'attribute 0' numeric
@attribute ' attribute 1' numeric
@attribute ' attribute 2' {Permit,Deny}

@data
399,3,?
399,4,?
399,5,?
399,6,?
399,7,?
399,9,?
399,10,?
399,11,?
399,12,?
399,13,?
399,14,?
399,15,?
399,16,?
399,17,?
399,18,?
399,19,?
399,20,?
400,1,?
400,2,?
400,3,?
400,4,?
400,5,?
400,6,?
400,7,?
400,9,?
400,10,?
400,11,?
400,12,?
400,13,?
400,14,?
400,15,?
400,16,?
400,17,?
400,18,?
400,19,?
400,20,?
401,1,?
401,2,?
401,3,?
401,4,?
401,5,?
401,6,?
401,7,?
401,8,?
401,10,?
401,11,?
401,12,?
401,13,?
401,14,?
401,15,?
