@relation 50_Combine_R2_pra

@attribute 'attribute 0' numeric
@attribute ' attribute 1' numeric
@attribute ' attribute 2' {Permit,Deny}

@data
442,17,?
442,18,?
442,19,?
442,20,?
443,2,?
443,4,?
443,5,?
443,6,?
443,8,?
443,10,?
443,11,?
443,12,?
443,13,?
443,14,?
443,15,?
443,16,?
443,17,?
443,18,?
443,19,?
443,20,?
444,2,?
444,4,?
444,5,?
444,6,?
444,8,?
1,1,?
2,1,?
3,1,?
4,1,?
5,1,?
6,1,?
7,1,?
8,1,?
9,1,?
10,1,?
11,1,?
12,1,?
13,1,?
14,1,?
15,1,?
16,1,?
17,1,?
18,1,?
19,1,?
20,1,?
21,1,?
22,1,?
23,1,?
24,1,?
25,1,?
