@relation 50_Deny_R2_pra

@attribute 'attribute 0' numeric
@attribute ' attribute 1' numeric
@attribute ' attribute 2' {Permit,Deny}

@data
442,17,?
442,18,?
442,19,?
442,20,?
443,2,?
443,4,?
443,5,?
443,6,?
443,8,?
443,10,?
443,11,?
443,12,?
443,13,?
443,14,?
443,15,?
443,16,?
443,17,?
443,18,?
443,19,?
443,20,?
444,2,?
444,4,?
444,5,?
444,6,?
444,8,?
444,10,?
444,11,?
444,12,?
444,13,?
444,14,?
444,15,?
444,16,?
444,17,?
444,18,?
444,19,?
444,20,?
445,2,?
445,4,?
445,5,?
445,6,?
445,8,?
445,10,?
445,11,?
445,12,?
445,13,?
445,14,?
445,15,?
445,16,?
445,17,?
445,18,?

