@relation 50_Permit_R2_pra

@attribute 'attribute 0' numeric
@attribute ' attribute 1' numeric
@attribute ' attribute 2' {Permit,Deny}

@data
477,10,?
478,10,?
479,10,?
480,10,?
481,10,?
482,10,?
483,10,?
484,10,?
485,10,?
486,10,?
487,10,?
488,10,?
489,10,?
490,10,?
491,10,?
492,10,?
493,10,?
494,10,?
495,10,?
496,10,?
497,10,?
498,10,?
499,10,?
500,10,?
501,11,?
502,11,?
503,11,?
504,11,?
505,11,?
506,11,?
507,11,?
508,11,?
509,11,?
510,11,?
511,11,?
512,11,?
513,11,?
514,11,?
515,11,?
516,11,?
517,11,?
518,11,?
519,11,?
520,11,?
521,11,?
522,11,?
523,11,?
524,11,?
525,11,?
526,11,?
