@relation 50_combine_R2_ura_direct

@attribute 'attribute 0' numeric
@attribute ' attribute 1' numeric
@attribute ' attribute 2' {Permit,Deny}

@data
590,17,?
590,19,?
590,20,?
591,1,?
591,2,?
591,3,?
591,4,?
591,5,?
591,6,?
591,7,?
591,9,?
591,10,?
591,11,?
591,12,?
591,13,?
591,14,?
591,15,?
591,16,?
591,17,?
591,19,?
374,17,?
374,18,?
374,19,?
374,20,?
43,3,?
744,10,?
744,20,?
745,10,?
745,20,?
746,10,?
746,20,?
747,10,?
747,20,?
748,10,?
748,20,?
749,10,?
749,20,?
750,10,?
750,20,?
1,1,?
1,11,?
2,1,?
2,11,?
3,1,?
3,11,?
244,14,?
245,4,?
245,14,?
246,4,?
246,14,?
