@relation 50_deny_R2_ura_direct

@attribute 'attribute 0' numeric
@attribute ' attribute 1' numeric
@attribute ' attribute 2' {Permit,Deny}

@data
590,17,?
590,19,?
590,20,?
591,1,?
591,2,?
591,3,?
591,4,?
591,5,?
591,6,?
591,7,?
591,9,?
591,10,?
591,11,?
591,12,?
591,13,?
591,14,?
591,15,?
591,16,?
591,17,?
591,19,?
374,11,?
374,12,?
374,13,?
374,14,?
374,16,?
374,17,?
374,18,?
374,19,?
374,20,?
43,3,?
27,6,?
27,7,?
27,8,?
27,9,?
27,10,?
27,12,?
27,13,?
27,14,?
27,15,?
27,16,?
27,17,?
27,18,?
27,19,?
27,20,?
28,2,?
28,3,?
28,4,?
28,5,?
28,6,?
28,7,?

