@relation 50_permit_R2_ura_direct

@attribute 'attribute 0' numeric
@attribute ' attribute 1' numeric
@attribute ' attribute 2' {Permit,Deny}

@data
744,10,?
744,20,?
745,10,?
745,20,?
746,10,?
746,20,?
747,10,?
747,20,?
748,10,?
748,20,?
749,10,?
749,20,?
750,10,?
750,20,?
1,1,?
1,11,?
2,1,?
2,11,?
3,1,?
3,11,?
242,4,?
242,14,?
243,4,?
243,14,?
244,4,?
244,14,?
245,4,?
245,14,?
246,4,?
246,14,?
619,9,?
619,19,?
620,9,?
620,19,?
621,9,?
621,19,?
622,9,?
622,19,?
623,9,?
623,19,?
624,9,?
624,19,?
625,9,?
625,19,?
626,9,?
626,19,?
627,9,?
627,19,?
628,9,?
628,19,?
