@relation 50_combine_R2_ura

@attribute 'attribute 0' numeric
@attribute ' attribute 1' numeric
@attribute ' attribute 2' {Permit,Deny}

@data
643,16,?
643,17,?
643,18,?
643,20,?
644,1,?
644,2,?
644,3,?
644,4,?
644,5,?
644,6,?
644,7,?
644,8,?
644,10,?
644,11,?
644,12,?
644,13,?
644,14,?
644,15,?
644,16,?
644,17,?
355,16,?
355,17,?
355,18,?
355,19,?
355,20,?
744,10,?
744,20,?
745,10,?
745,20,?
746,10,?
746,20,?
747,10,?
747,20,?
748,10,?
748,20,?
749,10,?
749,20,?
750,10,?
750,20,?
1,1,?
1,11,?
2,1,?
2,11,?
3,1,?
3,11,?
6,5,?
6,6,?
6,7,?
6,8,?
6,9,?
