@relation 50_deny_R2_ura

@attribute 'attribute 0' numeric
@attribute ' attribute 1' numeric
@attribute ' attribute 2' {Permit,Deny}

@data
643,16,?
643,17,?
643,18,?
643,20,?
644,1,?
644,2,?
644,3,?
644,4,?
644,5,?
644,6,?
644,7,?
644,8,?
644,10,?
644,11,?
644,12,?
644,13,?
644,14,?
644,15,?
644,16,?
644,17,?
271,15,?
271,16,?
271,17,?
271,19,?
271,20,?
272,1,?
272,2,?
272,3,?
272,5,?
272,6,?
186,11,?
186,12,?
186,14,?
186,16,?
186,18,?
186,20,?
187,1,?
187,2,?
187,4,?
187,6,?
187,8,?
187,10,?
187,11,?
187,12,?
187,14,?
187,16,?
187,18,?
187,20,?
188,1,?
188,2,?
