@relation 50_combine_R2_uror

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 {Permit,Deny}

@data
70,1,33,1,?
70,1,28,1,?
70,1,23,1,?
70,1,3,1,?
70,1,2,1,?
71,1,41,1,?
71,1,27,1,?
71,1,11,1,?
72,1,43,1,?
72,1,38,1,?
72,1,28,1,?
72,1,23,1,?
72,1,14,1,?
72,1,12,1,?
73,1,49,1,?
73,1,47,1,?
73,1,26,1,?
73,1,23,1,?
73,1,14,1,?
73,1,9,1,?
74,1,50,1,?
74,1,49,1,?
74,1,46,1,?
74,1,40,1,?
74,1,36,1,?
3,6,453,1,?
3,6,453,2,?
3,6,453,3,?
3,6,453,4,?
3,6,453,5,?
3,6,454,1,?
3,6,454,2,?
3,6,454,3,?
3,6,454,4,?
3,6,454,5,?
3,6,455,1,?
3,6,455,2,?
3,6,455,3,?
3,6,455,4,?
3,6,455,5,?
3,6,456,1,?
3,6,456,2,?
3,6,456,3,?
3,6,456,4,?
3,6,456,5,?
3,6,457,1,?
3,6,457,2,?
3,6,457,3,?
3,6,457,4,?
3,6,457,5,?

