@relation 50_deny_R2_uror

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 {Permit,Deny}

@data
3,6,453,1,?
3,6,453,2,?
3,6,453,3,?
3,6,453,4,?
3,6,453,5,?
3,6,454,1,?
3,6,454,2,?
3,6,454,3,?
3,6,454,4,?
3,6,454,5,?
3,6,455,1,?
3,6,455,2,?
3,6,455,3,?
3,6,455,4,?
3,6,455,5,?
3,6,456,1,?
3,6,456,2,?
3,6,456,3,?
3,6,456,4,?
3,6,456,5,?
3,6,457,1,?
3,6,457,2,?
3,6,457,3,?
3,6,457,4,?
3,6,457,5,?
3,6,458,1,?
3,6,458,2,?
3,6,458,3,?
3,6,458,4,?
3,6,458,5,?
3,6,459,1,?
3,6,459,2,?
3,6,459,3,?
3,6,459,4,?
3,6,459,5,?
3,6,460,1,?
3,6,460,2,?
3,6,460,3,?
3,6,460,4,?
3,6,460,5,?
3,6,449,4,?
3,6,449,5,?
3,6,450,1,?
3,6,450,2,?
3,6,450,3,?
3,6,450,4,?
3,6,450,5,?
3,6,451,1,?
3,6,451,2,?
3,6,451,3,?
