@relation 50_combine_R2_urp

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 {Permit,Deny}

@data
50,1,1,?
34,1,1,?
41,1,1,?
22,1,1,?
28,1,1,?
14,1,1,?
66,1,1,?
42,1,1,?
44,1,1,?
33,1,1,?
18,1,1,?
70,1,1,?
38,1,1,?
39,1,1,?
29,1,1,?
11,1,1,?
4,1,1,?
6,1,1,?
7,1,1,?
71,1,1,?
8,9,432,?
9,9,432,?
22,9,432,?
23,9,432,?
12,9,432,?
12,10,436,?
12,10,437,?
12,10,438,?
12,10,439,?
12,10,440,?
12,10,441,?
12,10,442,?
12,10,443,?
12,10,444,?
12,10,445,?
10,19,176,?
10,19,177,?
10,19,178,?
10,19,179,?
10,19,180,?
10,19,181,?
10,19,182,?
10,19,183,?
10,19,184,?
10,19,185,?
11,2,743,?
11,2,744,?
11,2,745,?
11,2,746,?
11,2,747,?
