@relation 50_deny_R2_urp

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 {Permit,Deny}

@data
12,10,436,?
12,10,437,?
12,10,438,?
12,10,439,?
12,10,440,?
12,10,441,?
12,10,442,?
12,10,443,?
12,10,444,?
12,10,445,?
10,19,176,?
10,19,177,?
10,19,178,?
10,19,179,?
10,19,180,?
10,19,181,?
10,19,182,?
10,19,183,?
10,19,184,?
10,19,185,?
5,7,612,?
5,7,613,?
5,7,614,?
5,7,615,?
5,7,616,?
5,7,617,?
5,7,618,?
5,7,619,?
5,7,620,?
5,7,621,?
5,7,622,?
5,7,623,?
5,7,624,?
5,7,625,?
5,7,626,?
5,7,627,?
5,7,628,?
5,7,629,?
5,7,630,?
5,7,631,?
5,7,632,?
5,7,633,?
5,7,634,?
4,17,594,?
4,17,595,?
4,17,596,?
4,17,597,?
4,17,598,?
4,17,599,?
4,17,600,?
