@relation 50_permit_R2_urp

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 {Permit,Deny}

@data
50,1,1,?
34,1,1,?
41,1,1,?
22,1,1,?
28,1,1,?
14,1,1,?
66,1,1,?
42,1,1,?
44,1,1,?
33,1,1,?
18,1,1,?
70,1,1,?
38,1,1,?
39,1,1,?
29,1,1,?
11,1,1,?
4,1,1,?
6,1,1,?
7,1,1,?
71,1,1,?
8,9,432,?
9,9,432,?
22,9,432,?
23,9,432,?
12,9,432,?
485,9,408,?
492,9,408,?
474,9,408,?
477,9,408,?
480,9,408,?
469,9,408,?
458,9,408,?
525,9,408,?
511,9,408,?
486,9,408,?
471,9,408,?
473,9,408,?
478,9,408,?
467,9,408,?
460,9,408,?
508,9,408,?
509,9,408,?
501,9,408,?
502,9,408,?
506,9,408,?
493,9,408,?
481,9,408,?
472,9,408,?
461,9,408,?
465,9,408,?
