@relation Total_R2_ura_direct

@attribute 'attribute 0' numeric
@attribute ' attribute 1' numeric
@attribute ' attribute 2' {Permit,Deny}

@data
242,4,Permit
242,14,Permit
243,4,Permit
243,14,Permit
244,4,Permit
244,14,Permit
245,4,Permit
245,14,Permit
246,4,Permit
246,14,Permit
247,4,Permit
247,14,Permit
248,4,Permit
248,14,Permit
249,4,Permit
249,14,Permit
250,4,Permit
250,14,Permit
251,4,Permit
251,14,Permit
252,4,Permit
252,14,Permit
253,4,Permit
253,14,Permit
254,4,Permit
254,14,Permit
255,4,Permit
255,14,Permit
256,4,Permit
256,14,Permit
257,4,Permit
257,14,Permit
258,4,Permit
258,14,Permit
259,4,Permit
259,14,Permit
260,4,Permit
260,14,Permit
261,4,Permit
261,14,Permit
262,4,Permit
262,14,Permit
263,4,Permit
263,14,Permit
264,4,Permit
264,14,Permit
265,4,Permit
265,14,Permit
266,4,Permit
266,14,Permit
267,4,Permit
267,14,Permit
268,4,Permit
268,14,Permit
269,4,Permit
269,14,Permit
270,4,Permit
270,14,Permit
271,4,Permit
271,14,Permit
272,4,Permit
272,14,Permit
273,4,Permit
273,14,Permit
274,4,Permit
274,14,Permit
275,4,Permit
275,14,Permit
276,4,Permit
276,14,Permit
277,4,Permit
277,14,Permit
278,4,Permit
278,14,Permit
279,4,Permit
279,14,Permit
280,4,Permit
280,14,Permit
281,4,Permit
281,14,Permit
282,4,Permit
282,14,Permit
283,4,Permit
283,14,Permit
284,4,Permit
284,14,Permit
285,4,Permit
285,14,Permit
286,4,Permit
286,14,Permit
287,4,Permit
287,14,Permit
288,4,Permit
288,14,Permit
289,4,Permit
289,14,Permit
290,4,Permit
290,14,Permit
291,4,Permit
291,14,Permit
292,4,Permit
292,14,Permit
293,4,Permit
293,14,Permit
294,4,Permit
294,14,Permit
295,4,Permit
295,14,Permit
296,4,Permit
296,14,Permit
297,4,Permit
297,14,Permit
298,4,Permit
298,14,Permit
299,4,Permit
299,14,Permit
300,4,Permit
300,14,Permit
301,5,Permit
301,15,Permit
302,5,Permit
302,15,Permit
303,5,Permit
303,15,Permit
304,5,Permit
304,15,Permit
305,5,Permit
305,15,Permit
306,5,Permit
306,15,Permit
307,5,Permit
307,15,Permit
308,5,Permit
308,15,Permit
309,5,Permit
309,15,Permit
310,5,Permit
310,15,Permit
311,5,Permit
311,15,Permit
312,5,Permit
312,15,Permit
313,5,Permit
313,15,Permit
314,5,Permit
314,15,Permit
315,5,Permit
315,15,Permit
316,5,Permit
316,15,Permit
317,5,Permit
317,15,Permit
318,5,Permit
318,15,Permit
319,5,Permit
319,15,Permit
320,5,Permit
320,15,Permit
321,5,Permit
321,15,Permit
322,5,Permit
322,15,Permit
323,5,Permit
323,15,Permit
324,5,Permit
324,15,Permit
325,5,Permit
325,15,Permit
326,5,Permit
326,15,Permit
327,5,Permit
327,15,Permit
328,5,Permit
328,15,Permit
329,5,Permit
329,15,Permit
330,5,Permit
330,15,Permit
331,5,Permit
331,15,Permit
332,5,Permit
332,15,Permit
333,5,Permit
333,15,Permit
334,5,Permit
334,15,Permit
335,5,Permit
335,15,Permit
336,5,Permit
336,15,Permit
337,5,Permit
337,15,Permit
338,5,Permit
338,15,Permit
339,5,Permit
339,15,Permit
340,5,Permit
340,15,Permit
341,5,Permit
341,15,Permit
342,5,Permit
342,15,Permit
343,5,Permit
343,15,Permit
344,5,Permit
344,15,Permit
345,5,Permit
345,15,Permit
346,5,Permit
346,15,Permit
347,5,Permit
347,15,Permit
348,5,Permit
348,15,Permit
349,5,Permit
349,15,Permit
350,5,Permit
350,15,Permit
351,5,Permit
351,15,Permit
352,5,Permit
352,15,Permit
353,5,Permit
353,15,Permit
354,5,Permit
354,15,Permit
355,5,Permit
355,15,Permit
356,5,Permit
356,15,Permit
357,5,Permit
357,15,Permit
358,5,Permit
358,15,Permit
359,5,Permit
359,15,Permit
360,5,Permit
360,15,Permit
361,5,Permit
361,15,Permit
362,5,Permit
362,15,Permit
363,5,Permit
363,15,Permit
364,5,Permit
364,15,Permit
365,5,Permit
365,15,Permit
366,5,Permit
366,15,Permit
367,5,Permit
367,15,Permit
368,5,Permit
368,15,Permit
369,5,Permit
369,15,Permit
370,5,Permit
370,15,Permit
371,5,Permit
371,15,Permit
372,5,Permit
372,15,Permit
373,5,Permit
373,15,Permit
374,5,Permit
374,15,Permit
375,5,Permit
375,15,Permit
376,6,Permit
376,16,Permit
377,6,Permit
377,16,Permit
378,6,Permit
378,16,Permit
379,6,Permit
379,16,Permit
380,6,Permit
380,16,Permit
381,6,Permit
381,16,Permit
382,6,Permit
382,16,Permit
383,6,Permit
383,16,Permit
384,6,Permit
384,16,Permit
385,6,Permit
385,16,Permit
386,6,Permit
386,16,Permit
387,6,Permit
387,16,Permit
388,6,Permit
388,16,Permit
389,6,Permit
389,16,Permit
390,6,Permit
390,16,Permit
391,6,Permit
391,16,Permit
392,6,Permit
392,16,Permit
393,6,Permit
393,16,Permit
394,6,Permit
394,16,Permit
395,6,Permit
395,16,Permit
396,6,Permit
396,16,Permit
397,6,Permit
397,16,Permit
398,6,Permit
398,16,Permit
399,6,Permit
399,16,Permit
400,6,Permit
400,16,Permit
401,6,Permit
401,16,Permit
402,6,Permit
402,16,Permit
403,6,Permit
403,16,Permit
404,6,Permit
404,16,Permit
405,6,Permit
405,16,Permit
406,6,Permit
406,16,Permit
407,6,Permit
407,16,Permit
