attribute 0, attribute 1, attribute 2
477,10,Permit
478,10,Permit
479,10,Permit
480,10,Permit
481,10,Permit
482,10,Permit
483,10,Permit
484,10,Permit
485,10,Permit
486,10,Permit
487,10,Permit
488,10,Permit
489,10,Permit
490,10,Permit
491,10,Permit
492,10,Permit
493,10,Permit
494,10,Permit
495,10,Permit
496,10,Permit
497,10,Permit
498,10,Permit
499,10,Permit
500,10,Permit
501,11,Permit
502,11,Permit
503,11,Permit
504,11,Permit
505,11,Permit
506,11,Permit
507,11,Permit
508,11,Permit
509,11,Permit
510,11,Permit
511,11,Permit
512,11,Permit
513,11,Permit
514,11,Permit
515,11,Permit
516,11,Permit
517,11,Permit
518,11,Permit
519,11,Permit
520,11,Permit
521,11,Permit
522,11,Permit
523,11,Permit
524,11,Permit
525,11,Permit
526,11,Permit
527,11,Permit
528,11,Permit
529,11,Permit
530,11,Permit
531,11,Permit
532,11,Permit
533,11,Permit
534,11,Permit
535,11,Permit
536,11,Permit
537,11,Permit
538,11,Permit
539,11,Permit
540,11,Permit
541,11,Permit
542,11,Permit
543,11,Permit
544,11,Permit
545,11,Permit
546,11,Permit
547,11,Permit
548,11,Permit
549,11,Permit
550,11,Permit
551,12,Permit
552,12,Permit
553,12,Permit
554,12,Permit
555,12,Permit
556,12,Permit
557,12,Permit
558,12,Permit
559,12,Permit
560,12,Permit
561,12,Permit
562,12,Permit
563,12,Permit
564,12,Permit
565,12,Permit
566,12,Permit
567,12,Permit
568,12,Permit
569,12,Permit
570,12,Permit
571,12,Permit
572,12,Permit
573,12,Permit
574,12,Permit
575,12,Permit
576,12,Permit
577,12,Permit
578,12,Permit
579,12,Permit
580,12,Permit
581,12,Permit
582,12,Permit
583,12,Permit
584,12,Permit
585,12,Permit
586,12,Permit
587,12,Permit
588,12,Permit
589,12,Permit
590,12,Permit
591,12,Permit
592,12,Permit
593,12,Permit
594,12,Permit
595,12,Permit
596,12,Permit
597,12,Permit
598,12,Permit
599,12,Permit
600,12,Permit
601,13,Permit
602,13,Permit
603,13,Permit
604,13,Permit
605,13,Permit
606,13,Permit
607,13,Permit
608,13,Permit
609,13,Permit
610,13,Permit
611,13,Permit
612,13,Permit
613,13,Permit
614,13,Permit
615,13,Permit
616,13,Permit
617,13,Permit
618,13,Permit
619,13,Permit
620,13,Permit
621,13,Permit
622,13,Permit
623,13,Permit
624,13,Permit
625,13,Permit
626,13,Permit
627,13,Permit
628,13,Permit
629,13,Permit
630,13,Permit
631,13,Permit
632,13,Permit
633,13,Permit
634,13,Permit
635,13,Permit
636,13,Permit
637,13,Permit
638,13,Permit
639,13,Permit
640,13,Permit
641,13,Permit
642,13,Permit
643,13,Permit
644,13,Permit
645,13,Permit
646,13,Permit
647,13,Permit
648,13,Permit
649,13,Permit
650,13,Permit
651,14,Permit
652,14,Permit
653,14,Permit
654,14,Permit
655,14,Permit
656,14,Permit
657,14,Permit
658,14,Permit
659,14,Permit
660,14,Permit
661,14,Permit
662,14,Permit
663,14,Permit
664,14,Permit
665,14,Permit
666,14,Permit
667,14,Permit
668,14,Permit
669,14,Permit
670,14,Permit
671,14,Permit
672,14,Permit
673,14,Permit
674,14,Permit
675,14,Permit
676,14,Permit
677,14,Permit
678,14,Permit
679,14,Permit
680,14,Permit
681,14,Permit
682,14,Permit
683,14,Permit
684,14,Permit
685,14,Permit
686,14,Permit
687,14,Permit
688,14,Permit
689,14,Permit
690,14,Permit
691,14,Permit
692,14,Permit
693,14,Permit
694,14,Permit
695,14,Permit
696,14,Permit
697,14,Permit
698,14,Permit
699,14,Permit
700,14,Permit
701,15,Permit
702,15,Permit
703,15,Permit
704,15,Permit
705,15,Permit
706,15,Permit
707,15,Permit
708,15,Permit
709,15,Permit
710,15,Permit
711,15,Permit
712,15,Permit
713,15,Permit
714,15,Permit
715,15,Permit
716,15,Permit
717,15,Permit
718,15,Permit
719,15,Permit
720,15,Permit
721,15,Permit
722,15,Permit
723,15,Permit
724,15,Permit
725,15,Permit
726,15,Permit
727,15,Permit
728,15,Permit
729,15,Permit
730,15,Permit
731,15,Permit
732,15,Permit
733,15,Permit
734,15,Permit
735,15,Permit
736,15,Permit
737,15,Permit
738,15,Permit
739,15,Permit
740,15,Permit
741,15,Permit
742,15,Permit
743,15,Permit
744,15,Permit
745,15,Permit
746,15,Permit
747,15,Permit
748,15,Permit
749,15,Permit
750,15,Permit
751,16,Permit
752,16,Permit
753,16,Permit
754,16,Permit
755,16,Permit
756,16,Permit
757,16,Permit
758,16,Permit
759,16,Permit
760,16,Permit
761,16,Permit
762,16,Permit
763,16,Permit
764,16,Permit
765,16,Permit
766,16,Permit
767,16,Permit
768,16,Permit
769,16,Permit
770,16,Permit
771,16,Permit
772,16,Permit
773,16,Permit
774,16,Permit
775,16,Permit
776,16,Permit
777,16,Permit
778,16,Permit
779,16,Permit
780,16,Permit
781,16,Permit
782,16,Permit
783,16,Permit
784,16,Permit
785,16,Permit
786,16,Permit
787,16,Permit
788,16,Permit
789,16,Permit
790,16,Permit
791,16,Permit
792,16,Permit
793,16,Permit
794,16,Permit
795,16,Permit
796,16,Permit
797,16,Permit
798,16,Permit
799,16,Permit
800,16,Permit
801,17,Permit
802,17,Permit
803,17,Permit
804,17,Permit
805,17,Permit
806,17,Permit
807,17,Permit
808,17,Permit
809,17,Permit
810,17,Permit
811,17,Permit
812,17,Permit
813,17,Permit
814,17,Permit
815,17,Permit
816,17,Permit
817,17,Permit
818,17,Permit
819,17,Permit
820,17,Permit
821,17,Permit
822,17,Permit
823,17,Permit
824,17,Permit
825,17,Permit
826,17,Permit
827,17,Permit
828,17,Permit
829,17,Permit
830,17,Permit
831,17,Permit
832,17,Permit
833,17,Permit
834,17,Permit
835,17,Permit
836,17,Permit
837,17,Permit
838,17,Permit
839,17,Permit
840,17,Permit
841,17,Permit
842,17,Permit
843,17,Permit
844,17,Permit
845,17,Permit
846,17,Permit
847,17,Permit
848,17,Permit
849,17,Permit
850,17,Permit
851,18,Permit
852,18,Permit
853,18,Permit
854,18,Permit
855,18,Permit
856,18,Permit
857,18,Permit
858,18,Permit
859,18,Permit
860,18,Permit
861,18,Permit
862,18,Permit
863,18,Permit
864,18,Permit
865,18,Permit
866,18,Permit
867,18,Permit
868,18,Permit
869,18,Permit
870,18,Permit
871,18,Permit
872,18,Permit
873,18,Permit
874,18,Permit
875,18,Permit
876,18,Permit
877,18,Permit
878,18,Permit
879,18,Permit
880,18,Permit
881,18,Permit
882,18,Permit
883,18,Permit
884,18,Permit
885,18,Permit
886,18,Permit
887,18,Permit
888,18,Permit
889,18,Permit
890,18,Permit
891,18,Permit
892,18,Permit
893,18,Permit
894,18,Permit
895,18,Permit
896,18,Permit
897,18,Permit
898,18,Permit
899,18,Permit
900,18,Permit
901,19,Permit
902,19,Permit
903,19,Permit
904,19,Permit
905,19,Permit
906,19,Permit
907,19,Permit
908,19,Permit
909,19,Permit
910,19,Permit
911,19,Permit
912,19,Permit
913,19,Permit
914,19,Permit
915,19,Permit
916,19,Permit
917,19,Permit
918,19,Permit
919,19,Permit
920,19,Permit
921,19,Permit
922,19,Permit
923,19,Permit
924,19,Permit
925,19,Permit
926,19,Permit
927,19,Permit
928,19,Permit
929,19,Permit
930,19,Permit
931,19,Permit
932,19,Permit
933,19,Permit
934,19,Permit
935,19,Permit
936,19,Permit
937,19,Permit
938,19,Permit
939,19,Permit
940,19,Permit
941,19,Permit
942,19,Permit
943,19,Permit
944,19,Permit
945,19,Permit
946,19,Permit
947,19,Permit
948,19,Permit
949,19,Permit
950,19,Permit
951,20,Permit
952,20,Permit
953,20,Permit
954,20,Permit
955,20,Permit
956,20,Permit
957,20,Permit
958,20,Permit
959,20,Permit
960,20,Permit
961,20,Permit
962,20,Permit
963,20,Permit
964,20,Permit
965,20,Permit
966,20,Permit
967,20,Permit
968,20,Permit
969,20,Permit
970,20,Permit
971,20,Permit
972,20,Permit
973,20,Permit
974,20,Permit
975,20,Permit
976,20,Permit
977,20,Permit
978,20,Permit
979,20,Permit
980,20,Permit
981,20,Permit
982,20,Permit
983,20,Permit
984,20,Permit
985,20,Permit
986,20,Permit
987,20,Permit
988,20,Permit
989,20,Permit
990,20,Permit
991,20,Permit
992,20,Permit
993,20,Permit
994,20,Permit
995,20,Permit
996,20,Permit
997,20,Permit
998,20,Permit
999,20,Permit
1000,20,Permit
1,1,Permit
2,1,Permit
3,1,Permit
4,1,Permit
5,1,Permit
6,1,Permit
7,1,Permit
8,1,Permit
9,1,Permit
10,1,Permit
11,1,Permit
12,1,Permit
13,1,Permit
14,1,Permit
15,1,Permit
16,1,Permit
17,1,Permit
18,1,Permit
19,1,Permit
20,1,Permit
21,1,Permit
22,1,Permit
23,1,Permit
24,1,Permit
25,1,Permit
26,1,Permit
27,1,Permit
28,1,Permit
29,1,Permit
30,1,Permit
31,1,Permit
32,1,Permit
33,1,Permit
34,1,Permit
35,1,Permit
36,1,Permit
37,1,Permit
38,1,Permit
39,1,Permit
40,1,Permit
41,1,Permit
42,1,Permit
43,1,Permit
44,1,Permit
45,1,Permit
46,1,Permit
47,1,Permit
48,1,Permit
49,1,Permit
50,1,Permit
51,2,Permit
52,2,Permit
53,2,Permit
54,2,Permit
55,2,Permit
56,2,Permit
57,2,Permit
58,2,Permit
59,2,Permit
60,2,Permit
61,2,Permit
62,2,Permit
63,2,Permit
64,2,Permit
65,2,Permit
66,2,Permit
67,2,Permit
68,2,Permit
69,2,Permit
70,2,Permit
71,2,Permit
72,2,Permit
73,2,Permit
74,2,Permit
75,2,Permit
76,2,Permit
77,2,Permit
78,2,Permit
79,2,Permit
80,2,Permit
81,2,Permit
82,2,Permit
83,2,Permit
84,2,Permit
85,2,Permit
86,2,Permit
87,2,Permit
88,2,Permit
89,2,Permit
90,2,Permit
91,2,Permit
92,2,Permit
93,2,Permit
94,2,Permit
